PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,AT-406,Navitoclax,0,0,-10.1932185364009,nM
1,AT-406,Navitoclax,0,1,5.9154516529663,nM
1,AT-406,Navitoclax,0,3,7.03374125287302,nM
1,AT-406,Navitoclax,0,10,1.86310933974981,nM
1,AT-406,Navitoclax,0,30,10.190391896022,nM
1,AT-406,Navitoclax,0,100,20.3440374671182,nM
1,AT-406,Navitoclax,0,300,29.6963304907931,nM
1,AT-406,Navitoclax,0,1000,49.2891882772157,nM
1,AT-406,Navitoclax,1,0,3.81985114205105,nM
1,AT-406,Navitoclax,1,1,4.01382933805383,nM
1,AT-406,Navitoclax,1,3,-0.496428716546264,nM
1,AT-406,Navitoclax,1,10,5.03353985474602,nM
1,AT-406,Navitoclax,1,30,2.16626652038803,nM
1,AT-406,Navitoclax,1,100,15.0303068848126,nM
1,AT-406,Navitoclax,1,300,33.6129940658219,nM
1,AT-406,Navitoclax,1,1000,56.1430845359805,nM
1,AT-406,Navitoclax,3,0,1.07341668389151,nM
1,AT-406,Navitoclax,3,1,-4.10463516022634,nM
1,AT-406,Navitoclax,3,3,10.1840319551695,nM
1,AT-406,Navitoclax,3,10,-1.51825921352264,nM
1,AT-406,Navitoclax,3,30,5.23493798174344,nM
1,AT-406,Navitoclax,3,100,14.0360361315306,nM
1,AT-406,Navitoclax,3,300,36.1431905349947,nM
1,AT-406,Navitoclax,3,1000,54.1269832857221,nM
1,AT-406,Navitoclax,10,0,2.55422291239359,nM
1,AT-406,Navitoclax,10,1,5.93029151495558,nM
1,AT-406,Navitoclax,10,3,6.83976305687024,nM
1,AT-406,Navitoclax,10,10,2.15460662882502,nM
1,AT-406,Navitoclax,10,30,8.56648699833759,nM
1,AT-406,Navitoclax,10,100,17.9876793812484,nM
1,AT-406,Navitoclax,10,300,40.9979453857746,nM
1,AT-406,Navitoclax,10,1000,58.0065472057777,nM
1,AT-406,Navitoclax,30,0,13.0714451022272,nM
1,AT-406,Navitoclax,30,1,14.1823147711393,nM
1,AT-406,Navitoclax,30,3,15.959918239427,nM
1,AT-406,Navitoclax,30,10,20.8676725973115,nM
1,AT-406,Navitoclax,30,30,21.3330082696898,nM
1,AT-406,Navitoclax,30,100,32.8105815282585,nM
1,AT-406,Navitoclax,30,300,47.2487072536892,nM
1,AT-406,Navitoclax,30,1000,65.3607588116097,nM
1,AT-406,Navitoclax,100,0,39.5425789206827,nM
1,AT-406,Navitoclax,100,1,42.0621754884346,nM
1,AT-406,Navitoclax,100,3,36.9392431317055,nM
1,AT-406,Navitoclax,100,10,40.1372333903961,nM
1,AT-406,Navitoclax,100,30,40.1064936762755,nM
1,AT-406,Navitoclax,100,100,46.6084732078658,nM
1,AT-406,Navitoclax,100,300,61.5999137874685,nM
1,AT-406,Navitoclax,100,1000,78.7367744146646,nM
1,AT-406,Navitoclax,300,0,55.6077895142242,nM
1,AT-406,Navitoclax,300,1,53.3330506692954,nM
1,AT-406,Navitoclax,300,3,42.5020713974027,nM
1,AT-406,Navitoclax,300,10,39.9941347212138,nM
1,AT-406,Navitoclax,300,30,49.304028139205,nM
1,AT-406,Navitoclax,300,100,57.8411887436114,nM
1,AT-406,Navitoclax,300,300,66.0190126898487,nM
1,AT-406,Navitoclax,300,1000,84.9907162530055,nM
1,AT-406,Navitoclax,1000,0,69.9823158311294,nM
1,AT-406,Navitoclax,1000,1,55.4392510816316,nM
1,AT-406,Navitoclax,1000,3,58.9393385308183,nM
1,AT-406,Navitoclax,1000,10,53.6340878696495,nM
1,AT-406,Navitoclax,1000,30,54.8763963161809,nM
1,AT-406,Navitoclax,1000,100,65.6257563471327,nM
1,AT-406,Navitoclax,1000,300,78.3551779635116,nM
1,AT-406,Navitoclax,1000,1000,98.038134912012,nM
2,Dinaciclib,Ipatasertib,100,0,73.6585470960235,nM
2,Dinaciclib,Ipatasertib,100,10,74.1821355081286,nM
2,Dinaciclib,Ipatasertib,100,30,73.3935208627358,nM
2,Dinaciclib,Ipatasertib,100,100,72.5519009706855,nM
2,Dinaciclib,Ipatasertib,100,300,73.8498831083483,nM
2,Dinaciclib,Ipatasertib,100,1000,77.5848137813641,nM
2,Dinaciclib,Ipatasertib,100,3000,77.7309014123959,nM
2,Dinaciclib,Ipatasertib,100,10000,100.307258055828,nM
2,Dinaciclib,Ipatasertib,30,0,73.1737430107411,nM
2,Dinaciclib,Ipatasertib,30,10,72.0231413150042,nM
2,Dinaciclib,Ipatasertib,30,30,71.6184915051551,nM
2,Dinaciclib,Ipatasertib,30,100,72.4032277178656,nM
2,Dinaciclib,Ipatasertib,30,300,71.9184236325831,nM
2,Dinaciclib,Ipatasertib,30,1000,73.09746716799,nM
